SiteID,collStart,collEnd,CollTime,PBM,PBMVal,GOM,GOMVal,GEM,GEMValPct,GEMVal
AK95,"2021-10-05 15:05","2021-10-05 15:09",4,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-05 16:09","2021-10-05 17:10",61,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-05 18:09","2021-10-05 19:10",61,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-05 20:09","2021-10-05 21:10",61,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-05 22:09","2021-10-05 23:10",61,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-06 00:09","2021-10-06 01:10",61,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-06 02:09","2021-10-06 03:10",61,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-06 04:09","2021-10-06 05:10",61,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-06 06:09","2021-10-06 07:10",61,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-06 09:00","2021-10-06 10:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-06 14:18","2021-10-06 15:18",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-06 17:00","2021-10-06 18:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-06 19:00","2021-10-06 20:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-06 21:00","2021-10-06 22:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-06 23:00","2021-10-07 00:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-07 01:00","2021-10-07 02:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-07 03:00","2021-10-07 04:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-07 05:00","2021-10-07 06:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-07 07:00","2021-10-07 08:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-07 09:00","2021-10-07 10:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-07 15:00","2021-10-07 16:01",61,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-07 16:54","2021-10-07 17:55",61,-9.000,C,-9.000,C,1.091,100.0,B
AK95,"2021-10-07 18:55","2021-10-07 19:55",60,2.500,B,2.881,B,1.089,100.0,B
AK95,"2021-10-07 20:55","2021-10-07 21:55",60,2.754,B,2.160,B,1.093,100.0,B
AK95,"2021-10-07 22:55","2021-10-07 23:55",60,2.781,B,2.354,B,1.078,100.0,B
AK95,"2021-10-08 00:55","2021-10-08 01:55",60,2.758,B,2.148,B,1.025,100.0,B
AK95,"2021-10-08 04:00","2021-10-08 05:00",60,2.011,B,2.111,B,1.182,100.0,B
AK95,"2021-10-08 06:00","2021-10-08 07:00",60,3.034,B,1.228,B,1.169,100.0,B
AK95,"2021-10-08 08:00","2021-10-08 09:00",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-08 11:59","2021-10-08 12:59",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-08 13:59","2021-10-08 14:59",60,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-08 17:00","2021-10-08 18:00",60,-9.000,C,-9.000,C,1.138,100.0,B
AK95,"2021-10-08 19:00","2021-10-08 20:00",60,2.308,B,2.070,B,1.143,100.0,B
AK95,"2021-10-08 21:00","2021-10-08 22:00",60,2.217,B,2.122,B,1.155,100.0,B
AK95,"2021-10-08 23:00","2021-10-09 00:00",60,2.727,B,2.082,B,1.157,100.0,B
AK95,"2021-10-09 01:00","2021-10-09 02:00",60,2.868,B,1.951,B,1.169,100.0,B
AK95,"2021-10-09 03:00","2021-10-09 04:00",60,3.081,B,1.994,B,1.181,100.0,B
AK95,"2021-10-09 05:00","2021-10-09 06:00",60,3.274,B,1.730,B,1.176,100.0,B
AK95,"2021-10-09 07:00","2021-10-09 08:00",60,3.279,B,1.621,B,1.151,100.0,B
AK95,"2021-10-09 13:13","2021-10-09 14:14",61,-9.000,C,-9.000,C,-9,.0,-
AK95,"2021-10-09 15:13","2021-10-09 16:14",61,-9.000,C,-9.000,C,1.092,100.0,B
AK95,"2021-10-09 17:13","2021-10-09 18:14",61,2.329,B,4.355,B,1.107,100.0,B
AK95,"2021-10-09 19:13","2021-10-09 20:14",61,1.588,B,4.027,B,1.128,100.0,B
