siteid,yr,startdate,enddate,ppt,HgConc,HgDep,crit1,crit2,crit3,samplecount
AB08,2000,2000-03-05,2001-01-02,17.193,-9.000,-9.000,77,83,95,42
AB08,2001,2001-01-02,2001-05-29,3.673,-9.000,-9.000,30,40,54,21
AB13,2004,2004-09-21,2004-12-28,1.905,-9.000,-9.000,23,27,91,14
AB13,2005,2004-12-28,2006-01-03,31.391,11.500,3.610,92,99,98,53
AB13,2006,2006-01-03,2007-01-02,29.387,13.458,3.955,88,99,96,52
AB13,2007,2007-01-02,2007-12-31,32.537,13.201,4.295,86,98,98,52
AB13,2008,2007-12-31,2008-12-30,30.317,13.687,4.149,92,99,96,52
AB13,2009,2008-12-30,2009-12-29,23.800,8.854,2.107,82,99,84,52
AB13,2010,2009-12-29,2010-12-28,37.861,9.468,3.584,78,99,91,52
AB13,2011,2010-12-28,2012-01-03,24.876,13.213,3.287,81,99,87,52
AB13,2012,2012-01-03,2013-01-01,42.037,-9.000,-9.000,73,99,90,52
AB13,2013,2013-01-01,2013-12-31,29.489,12.623,3.722,80,99,92,52
AB13,2014,2013-12-31,2014-12-30,33.376,-9.000,-9.000,74,99,79,52
AB13,2015,2014-12-30,2015-12-29,27.645,9.503,2.627,78,99,89,52
AB13,2016,2015-12-29,2017-01-03,47.422,12.905,6.119,82,99,96,53
AB13,2017,2017-01-03,2017-09-26,16.307,-9.000,-9.000,42,73,68,38
AB14,2006,2006-07-18,2007-01-02,24.227,-9.000,-9.000,44,46,98,25
AB14,2007,2007-01-02,2008-01-01,42.431,13.839,5.872,86,99,93,51
AB14,2008,2008-01-01,2008-12-30,30.238,13.159,3.979,79,99,89,52
AB14,2009,2008-12-30,2009-12-29,31.852,-9.000,-9.000,71,99,86,52
AB14,2010,2009-12-29,2010-12-28,44.950,-9.000,-9.000,65,99,37,52
AB14,2011,2010-12-28,2012-01-03,45.720,-9.000,-9.000,73,99,83,53
AB14,2012,2012-01-03,2013-01-01,49.733,12.843,6.387,78,99,83,52
AB14,2013,2013-01-01,2013-12-31,44.298,-9.000,-9.000,74,99,86,52
AB14,2014,2013-12-31,2014-12-30,40.843,9.031,3.689,78,99,90,52
AB14,2015,2014-12-30,2015-12-29,35.344,9.806,3.466,86,99,97,52
AB14,2016,2015-12-29,2017-01-03,53.540,11.641,6.232,86,99,96,53
AB14,2017,2017-01-03,2018-01-02,45.881,10.836,4.971,88,99,94,52
AB14,2018,2018-01-02,2019-01-01,40.985,8.235,3.375,99,99,100,52
AB14,2019,2019-01-01,2019-12-31,46.483,10.331,4.802,90,99,98,53
AB14,2020,2019-12-31,2020-12-29,53.873,8.430,4.541,91,99,98,53
AB14,2021,2020-12-29,2021-12-28,31.852,9.881,3.147,96,99,97,52
AB14,2022,2021-12-28,2023-01-03,39.776,8.921,3.548,98,99,99,53
AB33,2017,2017-10-11,2018-01-03,20.963,-9.000,-9.000,15,23,50,12
AK00,2009,2009-09-26,2009-12-09,16.816,-9.000,-9.000,18,20,97,8
AK00,2010,2010-06-22,2010-12-30,84.958,-9.000,-9.000,19,52,22,25
AK00,2011,2010-12-30,2012-01-04,225.505,2.464,5.554,89,99,88,50
AK00,2012,2012-01-11,2013-01-04,105.970,3.286,3.481,90,98,98,49
AK00,2013,2013-01-04,2014-01-01,52.842,-9.000,-9.000,22,22,100,24
AK00,2014,2014-10-23,2014-12-30,51.203,-9.000,-9.000,17,19,86,9
AK00,2015,2014-12-30,2015-09-30,131.064,-9.000,-9.000,71,75,99,33
AK02,2017,2017-01-03,2018-01-03,183.591,2.072,3.804,95,99,98,53
AK02,2022,2022-10-25,2023-01-03,40.916,-9.000,-9.000,19,19,100,9
AK04,2013,2013-09-25,2013-12-31,20.904,-9.000,-9.000,24,25,99,14
AK04,2014,2014-01-01,2014-12-23,37.997,6.153,2.338,86,98,91,51
AK04,2015,2014-12-23,2015-09-29,31.242,-9.000,-9.000,63,77,91,38
AK05,2010,2010-03-16,2010-12-28,120.726,-9.000,-9.000,75,79,90,41
AK05,2011,2010-12-28,2012-01-04,190.378,1.523,2.899,92,99,90,52
AK05,2012,2012-01-12,2013-01-02,137.961,2.251,3.104,79,98,86,50
AK05,2013,2013-01-02,2013-05-21,79.318,-9.000,-9.000,37,37,100,19
AK06,2008,2008-11-04,2008-12-30,4.166,-9.000,-9.000,7,13,91,7
AK06,2009,2008-12-30,2010-01-05,36.863,3.224,1.188,81,99,85,47
AK06,2010,2010-01-05,2011-01-05,30.048,9.997,3.004,88,99,95,48
AK06,2011,2011-01-05,2012-01-03,43.510,5.509,2.397,86,99,94,51
AK06,2012,2012-01-03,2013-01-02,32.741,5.909,1.935,82,99,88,48
AK06,2013,2013-01-02,2014-01-28,26.864,-9.000,-9.000,64,99,58,41
AK06,2014,2014-01-28,2014-12-31,38.379,5.259,2.018,82,92,97,46
AK06,2015,2014-12-31,2015-10-27,33.291,-9.000,-9.000,69,82,95,42
AK96,2017,2017-10-18,2018-01-01,2.413,-9.000,-9.000,11,21,47,11
AK96,2018,2018-01-01,2018-12-31,47.611,5.151,2.452,82,99,95,52
AK96,2019,2018-12-31,2019-12-31,44.425,-9.000,-9.000,73,99,85,51
AK96,2020,2019-12-31,2020-12-29,32.385,7.008,2.269,78,99,79,52
AK96,2021,2020-12-29,2021-12-28,27.330,-9.000,-9.000,63,99,83,52
AK96,2022,2021-12-28,2023-01-03,30.878,-9.000,-9.000,67,99,74,54
AK98,2007,2007-09-18,2008-01-02,79.984,-9.000,-9.000,27,29,92,15
AK98,2008,2008-01-02,2008-12-30,245.687,2.133,5.240,94,99,100,52
AK98,2009,2008-12-30,2009-12-29,180.185,1.742,3.137,78,99,95,42
AK98,2010,2009-12-29,2010-12-28,109.833,-9.000,-9.000,47,52,99,33
AK98,2011,2010-12-28,2012-01-04,223.657,2.569,5.743,88,99,85,54
AK98,2012,2012-01-04,2012-12-31,177.331,2.221,3.937,94,99,95,52
AK98,2013,2012-12-31,2013-12-31,206.978,2.709,5.607,90,99,93,53
AK98,2014,2013-12-31,2014-12-31,315.789,1.628,5.141,86,99,87,54
AK98,2015,2014-12-31,2015-09-29,158.139,-9.000,-9.000,71,75,100,42
AK98,2017,2017-05-02,2018-01-02,185.852,-9.000,-9.000,61,67,93,35
AK98,2018,2018-01-02,2018-12-31,284.086,2.475,7.028,98,99,91,53
AK98,2019,2018-12-31,2019-05-06,77.118,-9.000,-9.000,31,35,94,18
AK99,2004,2004-05-12,2005-01-01,27.258,-9.000,-9.000,25,27,93,22
AK99,2005,2005-06-29,2005-08-09,5.538,-9.000,-9.000,11,11,100,1
AL02,2001,2001-06-05,2002-01-01,94.138,-9.000,-9.000,53,58,97,30
AL02,2002,2002-01-01,2002-12-30,201.066,9.761,19.624,96,99,94,52
AL02,2003,2002-12-30,2003-12-30,251.039,10.908,27.383,97,99,100,52
AL02,2004,2003-12-30,2004-12-28,187.368,12.190,22.840,96,99,87,52
AL02,2005,2004-12-28,2006-01-03,191.142,10.042,19.193,97,99,96,53
AL02,2006,2006-01-03,2007-01-02,125.548,9.348,11.736,97,99,96,52
AL02,2007,2007-01-02,2008-01-02,148.730,10.917,16.235,99,99,100,52
AL02,2008,2008-01-02,2008-12-30,179.495,8.818,15.828,98,99,96,52
AL02,2009,2008-12-30,2009-12-29,198.836,9.042,17.979,96,99,95,52
AL02,2010,2009-12-29,2010-01-05,1.448,-9.000,-9.000,2,2,100,1
AL03,2000,2000-06-20,2001-01-02,53.987,-9.000,-9.000,50,54,93,28
AL03,2001,2001-01-02,2002-01-01,151.322,9.218,13.947,90,99,96,52
AL03,2002,2002-01-01,2002-12-31,137.397,8.131,11.172,94,99,95,52
AL03,2003,2002-12-31,2003-12-30,148.371,8.808,13.067,98,99,100,52
AL03,2004,2003-12-30,2004-12-28,126.891,8.197,10.400,94,99,94,52
AL03,2005,2004-12-28,2006-01-03,171.475,8.225,14.102,96,99,100,54
AL03,2006,2006-01-03,2007-01-02,132.969,10.611,14.108,98,99,100,52
AL03,2007,2007-01-02,2008-01-02,73.816,12.140,8.961,88,99,91,52
AL03,2008,2008-01-02,2008-12-30,126.101,8.034,10.130,98,99,99,52
AL03,2009,2008-12-30,2009-12-29,201.626,7.799,15.725,98,99,100,52
AL03,2010,2009-12-29,2010-12-28,140.113,10.499,14.709,99,99,100,52
AL03,2011,2010-12-28,2012-01-03,131.026,9.087,11.906,99,99,100,53
AL03,2012,2012-01-03,2013-01-01,150.902,8.036,12.125,95,99,97,52
AL03,2013,2013-01-01,2013-12-31,158.578,8.627,13.679,84,99,83,53
AL03,2014,2013-12-31,2014-12-30,135.678,10.804,14.657,99,99,100,52
AL03,2015,2014-12-30,2015-12-29,152.578,9.955,15.188,99,99,100,52
AL03,2016,2015-12-29,2016-12-13,117.567,9.926,11.669,96,96,100,50
AL19,2010,2010-12-27,2011-01-02,5.385,-9.000,-9.000,2,2,100,1
AL19,2011,2011-01-02,2011-12-30,128.388,11.919,15.301,100,100,100,54
AL19,2012,2011-12-30,2012-12-30,174.632,-9.000,-9.000,75,99,63,53
AL19,2013,2012-12-30,2013-12-31,169.244,13.069,22.117,97,99,98,64
AL19,2014,2013-12-31,2014-12-30,130.745,13.269,17.349,93,99,97,98
AL19,2015,2014-12-30,2015-12-29,142.303,13.327,18.963,99,99,100,108
AL19,2016,2015-12-29,2016-10-18,83.880,-9.000,-9.000,80,80,100,71
AL24,2001,2001-05-22,2002-01-01,100.727,-9.000,-9.000,58,61,100,32
AL24,2002,2002-01-01,2002-12-30,178.408,9.082,16.201,88,99,78,52
AL24,2003,2002-12-30,2003-12-30,179.873,9.252,16.642,98,99,98,52
AL24,2004,2003-12-30,2004-12-28,179.224,11.216,20.100,96,99,88,52
AL24,2005,2004-12-28,2006-01-03,217.782,8.536,18.588,98,99,100,53
AL24,2006,2006-01-03,2007-01-02,118.184,9.247,10.928,99,99,100,52
AL24,2007,2007-01-02,2008-01-02,119.423,9.594,11.457,94,98,99,52
AL24,2008,2008-01-02,2008-12-30,181.003,8.901,16.109,95,99,100,52
AL24,2009,2008-12-30,2009-12-29,208.993,8.923,18.646,96,99,93,52
AL24,2010,2009-12-29,2010-01-05,3.175,-9.000,-9.000,2,2,100,1
AZ02,2006,2006-02-28,2007-01-02,42.878,-9.000,-9.000,84,84,100,45
AZ02,2007,2007-01-02,2008-01-01,44.711,25.799,11.535,90,99,90,52
AZ02,2008,2008-01-01,2009-01-07,51.659,18.662,9.641,94,99,89,50
AZ02,2009,2009-01-07,2009-12-29,19.138,30.324,5.803,98,99,93,49
AZ02,2010,2009-12-29,2010-12-28,50.959,-9.000,-9.000,86,100,61,51
AZ02,2011,2010-12-28,2012-01-03,29.880,25.877,7.732,98,100,96,52
