n,last_name,year,vial_num,vial_n,landcover,landcover_details,substrate,substrate_type,site_code,sample_id,site_id,lat_dd,lon_dd,om_prop,c_prop,gwc_prop,bd_gcm3,depth_cm,c_kg_m2,burn_hx,burn_year
240,Jardine,2017,65,NA,peat plateau,NA,soil,NA,72B2,"72B2 T1,0",72B2,61.35149,-163.02275,0.6378,0.279,6.01,0.0432,32,3.86,b,1970
241,Jardine,2017,66,NA,peat plateau,NA,soil,NA,72B2,"72B2 T2,0",72B2,61.35168,-163.02261,0.7074,0.285,5.77,0.1494,20,8.52,b,1970
242,Jardine,2017,67,NA,peat plateau,NA,soil,NA,72B2,"72B2 T3,0",72B2,61.35178,-163.02242,0.5682,0.275,2.51,0.2873,21,16.58,b,1970
243,Jardine,2017,68,NA,peat plateau,NA,soil,NA,72B3,"72B3 T1,0",72B3,61.29217,-163.36052,0.9009,0.375,6.05,0.0654,31,7.59,b,1970
244,Jardine,2017,69,NA,peat plateau,NA,soil,NA,72B3,"72B3 T2,0",72B3,61.2921,-163.36073,0.8881,0.351,5.77,0.0788,30,8.3,b,1970
245,Jardine,2017,70,NA,peat plateau,NA,soil,NA,72B3,"72B3 T3,0",72B3,61.29202,-163.36098,0.7519,0.32,2.79,0.0841,37,9.95,b,1970
246,Jardine,2017,71,NA,peat plateau,NA,soil,NA,72B4,"72B4 T1,0",72B4,61.24963,-163.20667,0.7585,0.303,3.64,0.1397,37,15.66,b,1970
247,Jardine,2017,72,NA,peat plateau,NA,soil,NA,72B4,"72B4 T2,0",72B4,61.24974,-163.20647,0.9031,0.34,9.42,0.0481,37,6.06,b,1970
248,Jardine,2017,73,NA,peat plateau,NA,soil,NA,72B4,"72B4 T3,0",72B4,61.24982,-163.2063,0.6815,0.29,3.15,0.1979,29,16.63,b,1970
249,Navarro,2017,74,NA,peat plateau,moss patch,soil,NA,B1,B13-M,B13,61.25887,-163.24207,0.9852,0.495,6.92,0.0215,19,2.02,b,2015
250,Navarro,2017,75,NA,peat plateau,lichen patch,soil,NA,B1,B13-S,B13,61.25887,-163.24207,NA,NA,NA,NA,13,NA,b,2015
251,Navarro,2017,76,NA,peat plateau,moss patch,soil,NA,B1,B12-M,B12,61.25931,-163.24197,0.9818,0.477,10.88,0.0291,17,2.36,b,2015
252,Navarro,2017,77,NA,peat plateau,lichen patch,soil,NA,B1,B12-S,B12,61.25931,-163.24197,NA,NA,NA,NA,14,NA,b,2015
253,Navarro,2017,78,NA,peat plateau,moss patch,soil,NA,B1,B11-M,B11,61.25959,-163.24173,NA,NA,NA,NA,14,NA,b,2015
254,Navarro,2017,79,NA,peat plateau,lichen patch,soil,NA,B1,B11-S,B11,61.25959,-163.24173,NA,NA,NA,NA,14,NA,b,2015
233,Jardine,2017,57,NA,peat plateau,NA,soil,NA,B2,"B2 T2,0",B2,61.3208,-163.24312,0.7419,0.26,3.22,0.1199,34,10.62,b,2015
237,Jardine,2017,61,NA,peat plateau,NA,soil,NA,B2,"B2 T3,0",B2,61.3208,-163.24312,0.6967,0.29,3.3,0.1029,42,12.54,b,2015
239,Jardine,2017,LJ1,NA,peat plateau,NA,soil,NA,B2,"B2 T1,0 (HSB1)",B2,61.3208,-163.24312,0.7983,0.445,3.15,0.1906,15,12.73,b,2015
266,Navarro,2017,91,NA,peat plateau,moss patch,soil,NA,B2,B21-M,B21,61.27021,-163.23619,0.9785,0.456,9.82,0.0318,11,1.59,b,2015
267,Navarro,2017,92,NA,peat plateau,lichen patch,soil,NA,B2,B21-S,B21,61.27021,-163.23619,0.8393,0.456,3.89,0.1153,10,5.26,b,2015
268,Navarro,2017,93,NA,peat plateau,moss patch,soil,NA,B2,B22-M,B22,61.27024,-163.23622,0.6697,0.485,9.51,0.0335,14,2.28,b,2015
269,Navarro,2017,94,NA,peat plateau,lichen patch,soil,NA,B2,B22-S,B22,61.27024,-163.23622,NA,0.439,4.22,0.1158,10,5.09,b,2015
270,Navarro,2017,95,NA,peat plateau,moss patch,soil,NA,B2,B23-M,B23,61.27022,-163.23615,0.967,0.479,8.83,0.0392,10,1.88,b,2015
271,Navarro,2017,96,NA,peat plateau,lichen patch,soil,NA,B2,B23-S,B23,61.27022,-163.23615,0.9005,0.446,4.3,0.0671,11,3.29,b,2015
234,Jardine,2017,58,NA,peat plateau,NA,soil,NA,B3,"B3 T3,0",B3T3,61.27071,-163.23524,0.3994,0.19,1.53,0.636,10,12.08,b,2015
235,Jardine,2017,59,NA,peat plateau,NA,soil,NA,B3,"B3 T1,0 (HSB2)",B3T1,61.27076,-163.2347,0.2868,0.128,1.14,0.3586,33,15.13,b,2015
236,Jardine,2017,60,NA,peat plateau,NA,soil,NA,B3,"B3 T2,0",B3T2,61.27073,-163.235,0.2299,0.102,1,0.3658,39,14.53,b,2015
278,Navarro,2017,103,NA,peat plateau,moss patch,soil,NA,B3,B31-M,B31,61.2865,-163.25362,0.9599,0.489,7.15,0.0255,20,2.5,b,2015
279,Navarro,2017,104,NA,peat plateau,lichen patch,soil,NA,B3,B31-S,B31,61.2865,-163.25362,0.7948,0.438,3.07,0.1112,16,7.79,b,2015
280,Navarro,2017,105,NA,peat plateau,moss patch,soil,NA,B3,B32-M,B32,61.28652,-163.25359,0.9602,0.492,7.74,0.0507,13,3.24,b,2015
281,Navarro,2017,106,NA,peat plateau,lichen patch,soil,NA,B3,B32-S,B32,61.28652,-163.25359,0.7772,0.399,3.67,0.0751,20,5.99,b,2015
282,Navarro,2017,107,NA,peat plateau,moss patch,soil,NA,B3,B33-M,B33,61.28653,-163.25354,0.962,0.484,117.62,0.0019,21,0.19,b,2015
283,Navarro,2017,108,NA,peat plateau,lichen patch,soil,NA,B3,B33-S,B33,61.28653,-163.25354,0.794,0.451,3.02,0.1152,13,6.75,b,2015
1,Moubarak,2019,MM40,NA,NA,NA,soil,NA,D1,D1C1,D1,61.26418,-163.24937,0.985,0.434,0.7065,0.0655,19,5.4,b,2015
2,Moubarak,2019,MM42,NA,NA,NA,soil,NA,D1,D1C3,D1,61.26418,-163.24937,0.904,0.406,0.8075,0.0503,21,4.29,b,2015
3,Moubarak,2019,MM44,NA,NA,NA,soil,NA,D1,D1C2,D1,61.26418,-163.24937,0.9586,0.432,0.8689,0.0237,18,1.85,b,2015
4,Moubarak,2019,MM38,NA,NA,NA,soil,NA,D2,D2C2,D2,61.26457,-163.24841,0.8481,0.38,0.7651,0.0511,13,2.53,b,2015
6,Moubarak,2019,MM41,NA,NA,NA,soil,NA,D2,D2C1,D2,61.26457,-163.24841,0.9096,0.432,0.8285,0.0158,23,1.57,b,2015
