date_anlyzd,name,mass_mg,hg_ng,hg_ngg
2022-09-22,blank,0.000,0.022,
2022-09-22,mess4,117.920,9.166,77.731
2022-09-22,MM1,106.030,25.677,242.167
2022-09-22,MM2,80.560,11.094,137.711
2022-09-22,MM3,93.230,6.992,74.997
2022-09-22,MM4,116.330,25.241,216.978
2022-09-22,MM5,82.770,12.364,149.378
2022-09-22,MM6,68.710,18.751,272.901
2022-09-22,MM7,93.690,21.041,224.581
2022-09-22,MM8,102.380,31.446,307.150
2022-09-22,blank,0.000,0.014,
2022-09-22,mess4,110.690,8.819,79.673
2022-09-22,MM10,76.110,17.573,230.890
2022-09-22,MM11,69.030,16.166,234.188
2022-09-22,MM12,75.330,17.823,236.599
2022-09-22,MM13,83.400,22.754,272.830
2022-09-22,MM14,57.470,13.310,231.599
2022-09-22,MM15,60.410,31.372,519.318
2022-09-22,MM16,54.620,12.269,224.625
2022-09-22,MM17,73.880,13.658,184.867
2022-09-22,blank,0.000,0.007,
2022-09-22,mess4,58.540,4.639,79.245
2022-09-22,MM19,50.540,10.014,198.140
2022-09-22,MM21,68.580,12.378,180.490
2022-09-22,MM23,63.010,8.299,131.709
2022-09-22,MM26,63.060,12.269,194.561
2022-09-22,MM29,46.210,8.673,187.687
2022-09-22,MM30,63.910,18.041,282.288
2022-09-22,MM31,43.830,13.690,312.343
2022-09-22,MM32,73.200,31.956,436.557
2022-09-22,blank,0.000,0.012,
2022-09-22,mess4,89.580,7.064,78.857
2022-09-22,MM34,58.060,17.439,300.362
2022-09-22,MM35,92.450,22.328,241.514
2022-09-22,MM37,73.290,24.646,336.281
2022-09-22,MM43,91.550,16.687,182.272
2022-09-22,MM45,83.040,24.509,295.147
2022-09-22,MM46,54.580,5.815,106.541
2022-09-22,MM50,75.570,21.730,287.548
2022-09-22,MM56,99.430,23.866,240.028
2022-09-22,blank,0.000,0.001,
2022-09-22,mess4,81.610,6.346,77.760
2022-09-22,MM59,42.040,3.544,84.301
2022-09-22,MM61,66.850,9.017,134.884
2022-09-22,MM63,65.780,5.750,87.413
2022-09-22,MM67,68.740,14.182,206.314
