last_name,site_id,sample,siteid_sample,substrate,landcover,landcover_details,burn_hx,burn_year,lat_dd,lon_dd,om_prop,c_prop,gwc_prop,bd_gcm3,depth_cm,c_kg_m2,hg_ng,hg_ngg,hg_mg_m2
Jardine,U1,48,U1_48,soil,peat plateau,NA,u,NA,61.25849,-163.24748,0.8535,0.348,4.58,0.0825,31,8.91,9.967,116.641,2.88686475
Jardine,U1,49,U1_49,soil,peat plateau,NA,u,NA,61.25822,-163.24734,0.8114,0.361,3.14,0.1714,23,14.25,9.524,161.014,8.27933988
Jardine,U1,50,U1_50,soil,peat plateau,NA,u,NA,61.25816,-163.24728,0.7843,0.364,4.32,0.0921,33,11.05,7.084,113.854,3.14578602
Jardine,U2,51,U2_51,soil,peat plateau,NA,u,NA,61.32074,-163.2437,0.8119,0.35,3.43,0.0587,29,5.96,18.797,189.639,3.33954279
Jardine,U2,52,U2_52,soil,peat plateau,NA,u,NA,61.32077,-163.24348,0.7091,0.311,2.49,0.0872,29,7.88,16.134,179.008,4.68284928
Jardine,U2,53,U2_52,soil,peat plateau,NA,u,NA,61.32076,-163.24309,0.7004,0.292,3.07,0.0608,23,4.07,11.803,144.435,2.6344944
Jardine,U3,54,U3_54,soil,peat plateau,NA,u,NA,61.27041,-163.2373,0.8875,0.374,5.19,0.1342,28,14.05,7.84,105.136,4.23277536
Jardine,U3,55,U3_55,soil,peat plateau,NA,u,NA,61.27054,-163.2373,0.8787,0.346,4.44,0.1378,18,8.57,7.99,133.322,5.51153148
Jardine,U3,56,U3_55,soil,peat plateau,NA,u,NA,61.27067,-163.23729,0.8951,0.344,4.46,0.1066,23,8.44,8.848,131.981,4.22075238
McElvein,12ABM,AM12,12ABM_AM12,soil,high/dry unburn,NA,u,NA,61.26243,-163.28703,0.8007,0.428,3.6293,0.0738,30,9.49,5.576,136.299,3.01765986
McElvein,12ABM,AM13,12ABM_AM12,soil,high/dry unburn,NA,u,NA,61.26244,-163.28688,0.4671,0.433,5.1957,0.0554,30,7.2,9.413,204.63,3.4009506
McElvein,12ABM,AM14,12ABM_AM14,soil,high/dry unburn,NA,u,NA,61.26242,-163.28731,0.9077,0.444,4.7157,0.0546,30,7.28,14.397,272.67,4.4663346
McElvein,12ABM,AM15,12ABM_AM12,soil,high/dry unburn,NA,u,NA,61.26246,-163.28674,0.3955,0.405,3.9296,0.1276,30,15.49,12.156,229.358,8.77982424
McElvein,13ABM,AM16,13ABM_AM16,soil,low/wet unburn,NA,u,NA,61.2627,-163.28639,0.4509,0.457,24.0712,0.0109,30,1.5,4.995,87.863,0.28731201
McElvein,13ABM,AM17,13ABM_AM17,soil,low/wet unburn,NA,u,NA,61.26278,-163.28636,0.4312,0.461,15.7185,0.0105,30,1.45,2.669,42.441,0.13368915
McElvein,13ABM,AM18,13ABM_AM16,soil,low/wet unburn,NA,u,NA,61.26265,-163.28641,0.4199,0.437,17.4417,0.0259,30,3.39,3.493,67.031,0.52083087
McElvein,21ABM,AM42,21ABM_AM42,soil,high/dry unburn,NA,u,NA,61.26923,-163.0018,0.4054,0.423,5.4853,0.0691,30,8.77,12.895,167.402,3.47024346
McElvein,21ABM,AM43,21ABM_AM43,soil,high/dry unburn,NA,u,NA,61.26901,-163.001,0.7482,0.282,3.1192,0.1271,30,10.74,15.121,152.969,5.83270797
McElvein,21ABM,AM44,21ABM_AM44,soil,high/dry unburn,NA,u,NA,61.26895,-163.0016,0.7876,0.42,4.3667,0.0582,30,7.34,12.853,190.697,3.32956962
McElvein,21ABM,AM45,21ABM_AM45,soil,high/dry unburn,NA,u,NA,61.26875,-163.00156,0.2656,0.271,1.9414,0.1306,30,10.61,7.928,103.082,4.03875276
McElvein,22ABM,AM35,22ABM_AM35,soil,low/wet unburn,NA,u,NA,61.26709,-163.00714,0.4079,0.407,4.7971,0.0813,30,9.94,5.54,89.082,2.17270998
McElvein,22ABM,AM37,22ABM_AM37,soil,low/wet unburn,NA,u,NA,61.26721,-163.00703,1.5643,0.451,13.9313,0.0338,30,4.58,1.364,32.177,0.32627478
