yr,site,sample_id,pft,spp,organ,abb,spp_agb_gm2,tot_agb_gm2
2017,U1,U1_plot_3,evergreen shrub,Arctostaphylos uva-ursi,,ARUV,0.4,1307.9
2017,U1,U1_plot_3,lichen,Cetraria islandica,,CEIS,91.6,1307.9
2017,U1,U1_plot_3,evergreen shrub,Empetrum nigrum,stem,EMNI,43.2,1307.9
2017,U1,U1_plot_3,lichen,Flavocetraria cucullata,,FLCU,0.4,1307.9
2017,U1,U1_plot_3,graminoid,,,GRAM,7.89,1307.9
2017,U1,U1_plot_3,lichen,,,LICH MISC,312.86,1307.9
2017,U1,U1_plot_3,moss,,,MOSS MISC,10.25,1307.9
2017,U1,U1_plot_3,evergreen shrub,Oxycoccus microcarpus,,OXMI,6.37,1307.9
2017,U1,U1_plot_3,moss,Polytrichum,,POLY,0.4,1307.9
2017,U1,U1_plot_3,evergreen shrub,Rhododendron subarcticum,leaf,RHSU,105.92,1307.9
2017,U1,U1_plot_3,deciduous shrub,Rubus chamaemorus,leaf,RUCH,15.2,1307.9
2017,U1,U1_plot_3,moss,Sphagnum fuscum,,SPFU,88.09,1307.9
2017,U1,U1_plot_3,lichen,,,UL1,254.4,1307.9
2017,U1,U1_plot_3,lichen,,,UL10,28,1307.9
2017,U1,U1_plot_3,lichen,,,UL2,68.4,1307.9
2017,U1,U1_plot_3,lichen,,,UL2,193.2,1307.9
2017,U1,U1_plot_3,lichen,,,UL3,2.8,1307.9
2017,U1,U1_plot_3,lichen,,,UL8,13.2,1307.9
2017,U1,U1_plot_3,moss,,,UM1,6.4,1307.9
2017,U1,U1_plot_3,moss,,,UM2,2.4,1307.9
2017,U1,U1_plot_3,deciduous shrub,Vaccinium uliginosum,leaf,VAUL,35.72,1307.9
2017,U1,U1_plot_3,evergreen shrub,Vaccinium vitis-idaea,leaf,VAVI,20.8,1307.9
2017,U2,U2_plot_1,evergreen shrub,Arctostaphylos uva-ursi,,ARUV,17.6,1823.04
2017,U2,U2_plot_1,lichen,Cetraria islandica,,CEIS,42,1823.04
2017,U2,U2_plot_1,evergreen shrub,Empetrum nigrum,leaf,EMNI,36.49,1823.04
2017,U2,U2_plot_1,lichen,Flavocetraria cucullata,,FLCU,30.4,1823.04
2017,U2,U2_plot_1,graminoid,,,GRAM,15.84,1823.04
2017,U2,U2_plot_1,lichen,,,LICH MISC,150.36,1823.04
2017,U2,U2_plot_1,moss,,,MOSS MISC,26.05,1823.04
2017,U2,U2_plot_1,lichen,Peltigera apthosa,,PEAP,6.53,1823.04
2017,U2,U2_plot_1,moss,Polytrichum,,POLY,3.6,1823.04
2017,U2,U2_plot_1,evergreen shrub,Rhododendron subarcticum,leaf,RHSU,62,1823.04
2017,U2,U2_plot_1,deciduous shrub,Rubus chamaemorus,leaf,RUCH,0.4,1823.04
2017,U2,U2_plot_1,lichen,,,UL1,242,1823.04
2017,U2,U2_plot_1,lichen,,,UL1,249.2,1823.04
2017,U2,U2_plot_1,lichen,,,UL2,340.4,1823.04
2017,U2,U2_plot_1,lichen,,,UL2,458.8,1823.04
2017,U2,U2_plot_1,lichen,,,UL3,9.6,1823.04
2017,U2,U2_plot_1,lichen,,,UL3,6.8,1823.04
2017,U2,U2_plot_1,lichen,,,UL8,6.4,1823.04
2017,U2,U2_plot_1,moss,,,UM1,58,1823.04
2017,U2,U2_plot_1,deciduous shrub,Vaccinium uliginosum,leaf,VAUL,45.43,1823.04
2017,U2,U2_plot_1,evergreen shrub,Vaccinium vitis-idaea,leaf,VAVI,15.15,1823.04
2017,U3,U3_plot_1,lichen,Cetraria islandica,,CEIS,38.4,899.2
2017,U3,U3_plot_1,evergreen shrub,Empetrum nigrum,leaf,EMNI,10.4,899.2
2017,U3,U3_plot_1,lichen,Flavocetraria cucullata,,FLCU,59.6,899.2
2017,U3,U3_plot_1,graminoid,,,GRAM,11.6,899.2
2017,U3,U3_plot_1,evergreen shrub,Rhododendron subarcticum,leaf,RHSU,42,899.2
2017,U3,U3_plot_1,deciduous shrub,Rubus chamaemorus,leaf,RUCH,3.6,899.2
2017,U3,U3_plot_1,moss,Sphagnum fuscum,,SPFU,109.2,899.2
2017,U3,U3_plot_1,lichen,,,UL1,92,899.2
2017,U3,U3_plot_1,lichen,,,UL1,217.2,899.2
2017,U3,U3_plot_1,lichen,,,UL2,60.8,899.2
2017,U3,U3_plot_1,lichen,,,UL2,230,899.2
2017,U3,U3_plot_1,lichen,,,UL3,12,899.2
2017,U3,U3_plot_1,moss,,,UM1,0.8,899.2
2017,U3,U3_plot_1,deciduous shrub,Vaccinium uliginosum,leaf,VAUL,11.6,899.2
2018,UB1,UB1_7,moss,Feather moss,,,18.66,1047.84
2018,UB1,UB1_7,lichen,,,,896.5,1047.84
2018,UB1,UB1_7,graminoid,,leaf,,15.31,1047.84
2018,UB1,UB1_7,graminoid,,flower,,0.54,1047.84
2018,UB1,UB1_7,evergreen shrub,Vaccinium vitis-idaea,leaf,,23.19,1047.84
2018,UB1,UB1_7,evergreen shrub,Vaccinium vitis-idaea,stem,,6.23,1047.84
2018,UB1,UB1_7,forb,Rubus chamaemorus,leaf,,7.5,1047.84
2018,UB1,UB1_7,forb,Rubus chamaemorus,stem,,1.74,1047.84
2018,UB1,UB1_7,forb,Rubus chamaemorus,berry,,10.6,1047.84
2018,UB1,UB1_7,evergreen shrub,Rhododendron subarcticum,stem,,40.24,1047.84
2018,UB1,UB1_7,evergreen shrub,Rhododendron subarcticum,leaf,,27.33,1047.84
2018,UB1,UB1_9,moss,Sphagnum,,,14.55,1294.69
2018,UB1,UB1_9,moss,Feather moss,,,11.27,1294.69
2018,UB1,UB1_9,lichen,,,,1165.08,1294.69
2018,UB1,UB1_9,graminoid,,leaf,,5.49,1294.69
2018,UB1,UB1_9,evergreen shrub,Vaccinium vitis-idaea,leaf,,4.49,1294.69
2018,UB1,UB1_9,evergreen shrub,Vaccinium vitis-idaea,stem,,2.5,1294.69
2018,UB1,UB1_9,evergreen shrub,Vaccinium vitis-idaea,berry,,1.3,1294.69
2018,UB1,UB1_9,evergreen shrub,Oxycoccus microcarpus,leaf,,1.07,1294.69
2018,UB1,UB1_9,evergreen shrub,Oxycoccus microcarpus,stem,,1.88,1294.69
2018,UB1,UB1_9,evergreen shrub,Oxycoccus microcarpus,flower,,0.08,1294.69
2018,UB1,UB1_9,evergreen shrub,Arctostaphylos alpina,leaf,,1.36,1294.69
2018,UB1,UB1_9,evergreen shrub,Arctostaphylos alpina,stem,,1.33,1294.69
2018,UB1,UB1_9,forb,Rubus chamaemorus,leaf,,1.97,1294.69
2018,UB1,UB1_9,forb,Rubus chamaemorus,stem,,0.59,1294.69
2018,UB1,UB1_9,evergreen shrub,Rhododendron subarcticum,stem,,51.54,1294.69
2018,UB1,UB1_9,evergreen shrub,Rhododendron subarcticum,flower,,0.31,1294.69
2018,UB1,UB1_9,evergreen shrub,Rhododendron subarcticum,leaf,,29.88,1294.69
2018,UB1,UB1_11,moss,Feather moss,,,18.09,1404.21
2018,UB1,UB1_11,lichen,,,,965.91,1404.21
2018,UB1,UB1_11,graminoid,,leaf,,5.07,1404.21
2018,UB1,UB1_11,evergreen shrub,Vaccinium vitis-idaea,leaf,,10.62,1404.21
2018,UB1,UB1_11,evergreen shrub,Vaccinium vitis-idaea,stem,,7.81,1404.21
2018,UB1,UB1_11,evergreen shrub,Arctostaphylos alpina,leaf,,15.21,1404.21
2018,UB1,UB1_11,evergreen shrub,Arctostaphylos alpina,stem,,6.39,1404.21
2018,UB1,UB1_11,evergreen shrub,Empetrum nigrum,leaf,,2.72,1404.21
2018,UB1,UB1_11,evergreen shrub,Empetrum nigrum,stem,,1.44,1404.21
2018,UB1,UB1_11,deciduous shrub,Vaccinium uliginosum,leaf,,8.68,1404.21
2018,UB1,UB1_11,deciduous shrub,Vaccinium uliginosum,stem,,40.43,1404.21
2018,UB1,UB1_11,deciduous shrub,Vaccinium uliginosum,berry,,1.49,1404.21
