sample_id,hg_ppb,yr,site,plot,pft,notes
31,35.33,2017,U1,U1_plot_3,lichen,
58,23.61,2017,U1,U1_plot_3,evergreen shrub,stem
94,20.99,2017,U1,U1_plot_3,lichen,
34,49.22,2017,U1,U1_plot_3,moss,
26,48.72,2017,U1,U1_plot_3,lichen,
18,83.03,2017,U1,U1_plot_3,lichen,
30,65.18,2017,U1,U1_plot_3,lichen,
33,56.72,2017,U1,U1_plot_3,lichen,
4,89.65,2017,U1,U1_plot_3,lichen,
68,31.64,2017,U1,U1_plot_3,lichen,
74,238.23,2017,U1,U1_plot_3,moss,
88,155.97,2017,U1,U1_plot_3,moss,
54,6.87,2017,U1,U1_plot_3,deciduous shrub,leaf
69,11.31,2017,U1,U1_plot_3,evergreen shrub,leaf
83,16.18,2017,U2,U2_plot_1,evergreen shrub,leaf
17,31.00,2017,U2,U2_plot_1,lichen,
76,260.87,2017,U2,U2_plot_1,moss,
14,34.22,2017,U2,U2_plot_1,lichen,
27,37.81,2017,U2,U2_plot_1,lichen,
23,58.28,2017,U2,U2_plot_1,lichen,
25,49.16,2017,U2,U2_plot_1,lichen,
64,85.22,2017,U2,U2_plot_1,lichen,
72,75.64,2017,U2,U2_plot_1,lichen,
60,44.67,2017,U2,U2_plot_1,lichen,
35,97.93,2017,U2,U2_plot_1,moss,
65,11.81,2017,U2,U2_plot_1,deciduous shrub,leaf
66,9.98,2017,U2,U2_plot_1,deciduous shrub,stem
8,27.05,2017,U3,U3_plot_1,lichen,
57,17.86,2017,U3,U3_plot_1,evergreen shrub,leaf
10,25.51,2017,U3,U3_plot_1,lichen,
49,14.08,2017,U3,U3_plot_1,deciduous shrub,leaf
52,13.64,2017,U3,U3_plot_1,deciduous shrub,stem
11,35.63,2017,U3,U3_plot_1,moss,
1,30.09,2017,U3,U3_plot_1,lichen,
9,23.83,2017,U3,U3_plot_1,lichen,
2,47.75,2017,U3,U3_plot_1,lichen,
7,48.89,2017,U3,U3_plot_1,lichen,
112,275.15,2017,U3,U3_plot_1,moss,
111,9.11,2017,U3,U3_plot_1,deciduous shrub,leaf
7-2,32.15,2018,UB1,UB1_7,lichen,
9-3,37.57,2018,UB1,UB1_9,lichen,
117,6.09,2017,U3,U3_plot_1,deciduous shrub,stem
11-10,2.43,2018,UB1,UB1_11,deciduous shrub,stem
31-13,4.50,2018,UB3,UB3_31,deciduous shrub,stem
31-15,11.19,2018,UB3,UB3_31,deciduous shrub,stem
53-15,4.20,2018,UB4,UB4_53,deciduous shrub,stem
11-11,3.41,2018,UB1,UB1_11,deciduous shrub,leaf
31-16,21.82,2018,UB3,UB3_31,deciduous shrub,leaf
53-16,10.01,2018,UB4,UB4_53,deciduous shrub,leaf
7-5,11.09,2018,UB1,UB1_7,evergreen shrub,stem
9-8,12.65,2018,UB1,UB1_9,evergreen shrub,stem
11-4,10.72,2018,UB1,UB1_11,evergreen shrub,stem
19-6,10.87,2018,UB2,UB2_19,evergreen shrub,stem
21-5,4.23,2018,UB2,UB2_21,evergreen shrub,stem
23-6,8.06,2018,UB2,UB2_23,evergreen shrub,stem
31-5,19.14,2018,UB3,UB3_31,evergreen shrub,stem
7-6,11.81,2018,UB1,UB1_7,evergreen shrub,leaf
9-L,21.72,2018,UB1,UB1_9,evergreen shrub,leaf
11-5,9.75,2018,UB1,UB1_11,evergreen shrub,leaf
19-7,13.83,2018,UB2,UB2_19,evergreen shrub,leaf
21-6,13.92,2018,UB2,UB2_21,evergreen shrub,leaf
23-7,13.28,2018,UB2,UB2_23,evergreen shrub,leaf
31-6,26.76,2018,UB3,UB3_31,evergreen shrub,leaf
7-3,3.35,2018,UB1,UB1_7,graminoid,leaf
31-4,9.70,2018,UB3,UB3_31,graminoid,leaf
9-4,4.69,2018,UB1,UB1_9,graminoid,leaf
19-5,19.62,2018,UB2,UB2_19,graminoid,leaf
33-6,10.41,2018,UB3,UB3_33,graminoid,leaf
51-4,12.47,2018,UB4,UB4_51,graminoid,leaf
53-4,16.01,2018,UB4,UB4_53,graminoid,leaf
19-16,7.54,2018,UB2,UB2_19,forb,leaf
19-15,5.28,2018,UB2,UB2_19,forb,stem
11-13,12.96,2018,UB1,UB1_11,forb,stem
11-14,9.52,2018,UB1,UB1_11,forb,leaf
21-12,8.00,2018,UB2,UB2_21,forb,leaf
21-11,4.83,2018,UB2,UB2_21,forb,stem
23-12,13.44,2018,UB2,UB2_23,forb,leaf
23-11,6.30,2018,UB2,UB2_23,forb,stem
23-13,3.19,2018,UB2,UB2_23,forb,berry
11-1,74.66,2018,UB1,UB1_11,moss,
7-1,73.36,2018,UB1,UB1_7,moss,
9-1,67.18,2018,UB1,UB1_9,moss,
19-1,90.36,2018,UB2,UB2_19,moss,
21-1,79.95,2018,UB2,UB2_21,moss,
23-1,114.57,2018,UB2,UB2_23,moss,
31-1,73.79,2018,UB3,UB3_31,moss,
33-1,43.32,2018,UB3,UB3_33,moss,
51-1,155.41,2018,UB4,UB4_51,moss,
53-1,37.14,2018,UB4,UB4_53,moss,
